Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.and.naive (symmetric).0 bytes,30000,26,207,0,35651584
All.and.naive (symmetric).1 bytes,34443,72,247,0,35651584
All.and.naive (symmetric).2 bytes,37112,122,303,0,35651584
All.and.naive (symmetric).3 bytes,42385,690,343,0,35651584
All.and.naive (symmetric).4 bytes,46064,710,382,0,35651584
All.and.naive (symmetric).5 bytes,49959,666,421,0,35651584
All.and.naive (symmetric).6 bytes,54013,674,461,0,35651584
All.and.naive (symmetric).7 bytes,58464,442,502,0,35651584
All.and.naive (symmetric).15 bytes,98027,1368,838,0,35651584
All.and.naive (symmetric).31 bytes,179010,360,1509,0,35651584
All.and.naive (symmetric).63 bytes,375024,5612,2822,0,35651584
All.and.naive (symmetric).127 bytes,701599,9528,5589,0,35651584
All.and.naive (symmetric).255 bytes,1455979,8426,10990,3,35651584
All.and.naive (symmetric).511 bytes,3004511,31788,21887,2,35651584
All.and.naive (symmetric).1023 bytes,6114493,72566,43612,27,35651584
All.and.naive (symmetric).2047 bytes,12094912,174524,86704,102,35651584
All.and.naive (symmetric).4095 bytes,24478949,441502,173582,425,38797312
All.and.optimized (symmetric).0 bytes,49420,864,391,0,38797312
All.and.optimized (symmetric).1 bytes,50748,442,406,0,38797312
All.and.optimized (symmetric).2 bytes,50043,984,414,0,38797312
All.and.optimized (symmetric).3 bytes,48885,1280,415,0,38797312
All.and.optimized (symmetric).4 bytes,47956,886,413,0,38797312
All.and.optimized (symmetric).5 bytes,50465,286,415,0,38797312
All.and.optimized (symmetric).6 bytes,53173,796,413,0,38797312
All.and.optimized (symmetric).7 bytes,51057,186,415,0,38797312
All.and.optimized (symmetric).15 bytes,52658,566,439,0,38797312
All.and.optimized (symmetric).31 bytes,55697,682,487,0,38797312
All.and.optimized (symmetric).63 bytes,60284,772,582,0,38797312
All.and.optimized (symmetric).127 bytes,70923,1238,775,0,38797312
All.and.optimized (symmetric).255 bytes,94776,1430,1159,0,38797312
All.and.optimized (symmetric).511 bytes,144747,2648,1926,0,38797312
All.and.optimized (symmetric).1023 bytes,311123,5242,3447,0,38797312
All.and.optimized (symmetric).2047 bytes,390120,6686,6530,0,38797312
All.and.optimized (symmetric).4095 bytes,1096136,17986,12670,0,102760448
